4
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9
1 2 3 4 5 6 7 8 9

9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1
9 8 7 6 5 4 3 2 1

8 7 4 5 1 2 5 4 7
3 4 7 7 4 6 9 8 2
3 2 4 7 1 8 9 5 1
3 5 8 7 1 5 6 2 7
1 2 4 7 1 8 5 9 6
8 4 5 7 1 2 3 6 9
7 8 4 1 5 2 3 6 5
8 7 4 1 5 7 2 3 6
8 7 4 1 5 7 1 2 4

2 7 6 5 3 1 8 4 9
3 5 9 8 4 6 7 1 2
8 1 4 7 9 2 5 3 6
6 9 7 1 8 4 3 2 5
5 4 3 6 2 7 1 9 8
1 2 8 9 5 3 6 7 4
4 6 2 3 1 8 9 5 7
9 8 1 2 7 5 4 6 3
7 3 5 4 6 9 2 8 1

