296
1 120 265 204
2 292 168 294 219
2 259 229 275 249
2 160 32 183 186
2 98 245 188 289
2 170 21 291 137
2 157 202 207 292
2 117 197 271 254
2 215 140 248 261
2 88 88 106 289
2 123 209 196 239
2 246 271 265 278
2 108 23 138 145
2 7 185 198 269
2 68 103 259 214
2 227 16 275 141
2 133 99 210 256
2 155 128 155 196
1 157 124 333
2 130 23 206 125
2 39 286 117 292
2 66 244 85 289
2 2 51 29 235
2 178 59 282 71
2 74 145 237 196
2 184 37 242 135
2 295 190 295 213
2 60 119 234 179
2 248 163 287 207
2 101 290 208 292
2 282 277 288 277
2 133 109 292 217
2 58 264 184 288
2 278 2 278 4
1 67 86 430
2 281 206 294 291
2 134 30 144 282
2 277 202 280 225
2 292 223 294 278
2 47 47 118 216
2 178 278 295 279
2 253 258 259 265
2 147 132 185 138
2 164 22 212 79
2 129 206 136 260
2 251 76 292 146
2 37 275 57 277
1 127 31 201
2 55 202 165 230
2 276 281 286 294
2 124 30 173 56
2 191 105 207 276
2 36 244 234 261
2 24 274 31 290
2 86 227 106 232
1 244 20 336
2 55 52 202 226
2 246 57 284 286
2 4 287 45 295
2 86 174 154 250
2 139 200 161 295
2 78 239 155 241
2 6 212 112 234
2 269 24 283 115
2 25 279 216 294
2 150 152 151 178
2 7 99 76 138
2 92 38 205 292
2 98 175 241 222
2 229 118 235 264
2 21 116 147 156
2 227 37 278 43
2 80 127 125 293
2 138 123 184 294
2 164 119 197 130
2 65 230 71 237
2 120 66 226 110
2 156 109 251 145
2 14 178 162 245
2 112 288 125 291
2 255 123 268 163
2 75 192 202 223
2 14 201 80 286
2 123 207 166 270
2 275 26 285 154
2 132 242 288 243
2 2 222 168 250
2 163 17 245 146
2 17 111 203 174
2 150 251 180 253
2 217 64 227 230
2 177 178 231 181
2 176 162 278 175
2 60 160 224 281
2 24 251 219 272
2 5 7 110 250
2 171 254 221 274
2 150 19 238 124
2 2 157 270 268
2 55 101 272 274
2 2 182 187 234
2 295 206 295 271
2 244 177 292 197
2 155 283 205 294
1 209 286 292
2 100 157 222 206
2 275 98 277 220
2 228 159 228 236
2 216 16 235 243
2 57 61 267 206
1 239 112 26
1 286 53 275
2 211 55 283 273
2 4 203 27 237
2 43 175 175 216
2 52 6 157 8
2 51 218 66 262
2 115 35 164 289
2 169 133 263 275
2 289 206 293 212
2 143 233 281 292
2 1 44 16 243
2 213 262 265 283
2 253 86 254 198
2 196 145 245 200
2 289 70 295 81
2 41 50 196 78
2 285 235 295 274
1 99 266 498
2 207 82 217 202
2 145 141 227 175
2 293 110 293 166
1 99 54 71
2 108 50 149 66
2 281 31 286 273
2 139 67 256 199
2 147 222 196 245
2 146 237 287 238
2 184 142 187 148
2 46 1 127 216
2 76 224 161 263
2 82 264 269 275
2 63 34 98 146
2 143 162 188 241
2 26 210 111 277
2 262 51 266 239
2 66 289 155 294
2 103 68 132 208
2 147 121 270 186
2 258 181 290 208
1 94 230 470
2 39 120 252 136
2 219 159 241 243
2 58 216 142 275
2 252 55 292 96
2 55 279 60 286
2 141 239 283 241
2 89 226 94 282
2 63 117 70 225
1 14 165 290
2 102 279 109 280
2 50 113 205 130
2 218 88 289 191
2 171 169 260 205
2 168 270 188 295
2 119 198 205 212
2 91 267 234 273
1 215 283 357
2 217 22 252 64
2 172 276 223 289
2 84 146 133 200
2 75 107 191 177
2 264 162 285 237
2 274 284 290 286
1 233 287 390
1 255 252 172
2 201 54 287 101
1 167 44 159
2 59 97 103 140
2 123 281 232 287
2 263 110 265 217
2 11 192 65 239
2 95 90 118 252
2 24 204 229 283
2 78 35 109 136
2 205 82 246 280
2 294 217 295 267
1 167 13 406
2 177 13 265 113
2 55 166 225 197
2 58 284 169 287
2 252 273 258 291
2 263 148 290 216
1 33 191 174
2 171 33 191 204
2 55 287 285 294
2 33 55 292 99
2 196 105 255 248
2 260 290 260 295
2 106 113 248 190
2 92 267 278 272
1 103 134 140
2 56 1 268 21
2 128 190 240 205
2 63 15 270 173
2 3 103 163 191
2 33 56 179 185
2 287 17 287 288
2 138 17 253 32
2 216 209 219 263
2 270 130 273 141
2 54 29 187 271
2 249 100 253 288
2 289 149 290 212
2 109 52 250 137
2 188 174 265 176
2 276 267 283 285
2 55 151 88 255
2 72 23 281 66
1 109 281 226
2 147 138 291 291
2 248 198 276 249
2 51 67 182 92
2 55 204 203 221
2 137 221 291 266
2 280 150 285 204
2 110 17 136 86
2 197 82 269 278
2 119 184 186 291
2 170 215 181 246
2 251 152 275 217
2 158 176 167 211
2 215 169 240 260
2 54 287 113 292
2 137 48 291 91
2 245 114 285 287
2 272 246 294 292
2 87 122 176 132
2 278 106 279 213
2 231 231 281 268
2 265 180 277 204
1 181 230 6
2 59 161 148 272
2 151 161 204 220
2 86 185 194 196
2 39 288 41 288
2 227 5 245 136
2 245 218 247 279
2 186 106 205 223
2 167 167 189 175
2 135 11 191 212
1 5 190 366
2 35 29 75 143
2 218 58 276 165
2 126 265 141 265
1 166 129 194
2 280 62 280 193
2 107 123 235 175
2 47 282 73 284
1 100 2 471
1 13 223 234
2 64 236 116 237
2 179 179 234 207
2 18 267 161 272
2 31 246 61 258
2 247 4 269 180
2 295 146 295 209
2 250 183 274 269
2 267 62 295 217
2 98 94 237 185
1 258 69 486
2 241 123 281 291
2 208 245 286 271
2 174 78 254 277
1 23 183 106
2 167 114 174 287
2 251 291 279 293
2 227 187 256 259
2 216 151 279 289
2 170 133 278 220
2 153 133 256 291
2 177 288 275 288
2 290 46 291 64
2 170 275 186 292
2 187 287 222 290
2 32 63 268 245
2 45 30 175 68
2 13 284 209 294
2 49 22 51 151
2 150 67 217 92
2 235 287 288 293
2 186 256 263 281
2 292 216 292 234
2 192 53 281 158
2 164 270 244 288
2 40 252 217 290
2 17 15 89 86
2 243 284 273 285
2 105 120 165 235
2 123 82 261 133
2 146 74 199 258
2 12 287 114 291
2 207 112 263 234
2 217 11 238 217
1 7 245 34
2 7 38 212 76
2 36 113 282 285
2 65 0 293 89
2 56 54 128 139
2 183 200 207 272
2 113 204 290 232
2 185 234 194 253
2 289 268 292 272
2 86 149 293 212
2 243 162 278 240
2 128 33 270 124
2 117 110 149 216
1 59 127 343
2 133 238 229 255
2 136 233 173 294
2 21 260 250 278
2 189 28 196 253
2 5 157 222 283
2 199 75 236 125
2 21 175 168 184
2 193 75 218 275
2 182 49 287 100
2 32 223 212 225
2 69 20 104 265
2 79 230 153 274
1 284 74 20
2 262 223 276 287
2 35 158 104 226
2 270 213 287 249
2 84 87 224 293
2 176 11 291 167
2 116 77 275 228
2 182 107 290 192
2 293 268 295 289
2 214 230 228 268
2 91 295 232 295
2 58 223 72 238
2 69 190 250 228
2 19 107 289 110
2 73 36 172 215
1 186 181 3
2 268 168 276 246
1 100 123 123
1 160 230 68
2 46 160 151 277
2 295 121 295 274
2 28 103 233 125
2 271 123 287 157
2 87 166 127 183
2 202 226 232 262
2 3 146 142 222
2 248 278 258 291
2 35 229 107 229
2 295 268 295 272
1 249 146 190
2 7 264 111 284
2 295 60 295 120
2 182 291 262 291
2 201 3 260 231
2 108 61 295 116
2 263 122 270 288
2 191 219 191 278
2 42 7 69 50
2 178 251 181 266
2 210 112 258 283
2 70 49 290 287
2 281 158 293 265
2 46 84 97 95
2 105 82 223 167
2 100 178 228 294
2 124 100 154 222
2 9 289 256 294
2 56 91 116 258
2 12 147 185 277
2 123 165 255 199
2 118 43 206 266
2 91 290 225 293
2 104 232 110 246
2 186 170 277 273
2 183 40 285 236
2 267 36 279 150
2 6 246 210 285
2 280 46 284 67
2 185 45 242 161
2 44 90 129 208
2 57 185 217 218
2 77 10 138 13
2 146 177 284 246
2 261 245 291 275
2 162 133 281 235
2 162 48 192 112
2 16 213 198 256
2 189 294 231 295
2 262 165 292 251
2 127 89 131 121
2 271 280 283 282
1 227 252 160
2 211 95 234 153
2 156 29 267 155
2 259 164 278 257
2 9 74 121 238
2 182 81 207 255
2 247 249 279 281
2 75 238 105 252
1 24 293 286
2 106 284 148 284
2 265 215 266 288
2 72 149 140 277
2 240 272 274 286
2 22 254 237 288
1 263 89 167
2 179 33 260 189
2 275 124 285 278
2 256 103 285 106
2 257 175 282 231
1 196 244 176
2 170 245 199 294
2 179 49 249 129
2 98 192 131 259
2 77 87 129 269
2 90 226 254 292
2 254 84 256 229
2 169 127 191 129
2 240 63 289 134
2 64 104 259 120
2 170 97 267 183
1 187 256 173
1 159 205 90
2 234 291 244 295
2 267 74 274 132
2 57 213 104 228
2 43 196 122 224
1 12 84 86
1 234 214 13
2 277 251 277 271
2 49 121 255 264
2 139 224 263 282
2 210 150 273 182
2 170 97 294 186
1 109 287 373
2 20 75 92 182
2 237 246 272 295
1 201 265 286
2 262 200 269 281
2 70 48 234 171
2 155 55 212 198
2 293 81 294 91
1 6 87 67
2 28 57 49 191
2 187 43 236 81
1 149 80 230
1 53 284 164
1 65 219 442
2 230 216 290 261
2 247 31 269 133
2 267 242 285 280
2 89 214 232 221
2 110 56 221 130
1 277 163 64
2 43 268 275 283
2 36 171 140 287
2 193 123 257 166
2 50 187 256 217
2 176 196 238 200
2 99 93 207 294
1 222 120 197
2 156 289 173 295
2 13 170 252 194
1 27 104 190
2 120 26 290 254
2 212 172 277 223
2 104 86 159 282
2 55 97 236 193
2 127 52 256 274
2 142 179 191 202
2 150 0 251 30
2 198 30 241 252
1 213 249 367
2 196 229 260 276
2 206 76 208 191
1 18 147 377
2 15 116 280 202
1 84 77 21
2 155 86 192 159
2 248 23 275 51
2 82 105 115 155
2 137 224 178 225
2 81 283 241 288
1 216 186 204
2 193 128 278 267
1 282 78 12
2 38 129 204 183
2 26 151 82 272
2 268 130 285 255
2 139 110 226 148
2 164 7 282 272
2 104 162 277 291
2 260 238 273 240
2 98 202 110 276
2 277 273 278 280
2 189 23 288 129
2 179 96 198 283
2 82 186 273 198
2 220 221 239 278
2 79 21 269 119
2 213 266 294 283
2 228 232 228 250
2 209 189 246 246
2 168 132 194 270
2 38 38 44 40
2 124 84 161 134
2 202 33 233 128
2 78 289 165 294
2 202 114 285 249
2 4 225 31 255
2 49 234 258 252
2 81 241 191 292
2 77 173 192 193
2 219 61 272 212
2 88 200 156 226
2 197 291 290 294
2 176 234 235 293
2 32 284 142 290
2 69 41 287 148
2 116 243 236 288
2 31 64 214 80
2 99 230 219 260
2 278 9 281 56
2 31 140 211 223
2 67 117 215 160
1 257 85 88
2 117 5 264 124
2 58 145 117 196
2 76 283 173 293
2 47 37 57 293
2 275 50 276 75
2 293 41 294 133
2 53 138 210 163
2 25 208 82 271
2 261 278 293 290
2 168 295 231 295
2 259 120 291 157
2 43 80 254 146
2 77 195 113 203
2 112 3 233 9
2 191 44 245 253
2 73 53 224 220
2 287 131 293 162
2 227 149 258 257
1 288 290 54
2 21 253 101 265
2 250 123 270 152
2 84 174 165 240
2 176 249 178 254
2 38 151 127 247
2 143 165 224 176
2 121 44 170 125
2 9 16 166 273
2 181 8 241 156
2 86 93 205 125
2 247 37 289 71
2 271 72 285 210
1 268 244 307
2 199 45 264 267
2 295 244 295 278
2 133 262 246 279
2 66 244 156 249
1 47 65 390
2 64 58 92 240
2 22 136 109 137
2 104 22 249 98
1 87 24 332
2 70 237 84 272
2 183 135 259 166
2 127 130 288 289
2 285 89 293 90
2 104 158 288 241
2 71 216 225 277
1 9 4 162
2 50 3 96 160
1 278 266 420
2 204 173 264 241
2 3 220 222 272
2 143 179 272 254
2 77 84 267 113
1 24 245 374
2 73 158 176 201
2 247 170 293 286
2 294 199 295 259
2 206 6 255 104
2 170 82 264 228
2 164 210 250 221
2 72 79 100 255
1 291 193 498
1 191 274 167
2 273 242 279 242
2 280 83 288 146
2 42 130 110 144
2 111 59 121 200
1 90 295 20
2 88 236 224 291
2 167 271 229 295
2 239 150 271 268
2 237 20 291 155
2 105 54 209 77
2 232 158 278 290
2 80 248 118 285
2 263 180 290 195
2 43 289 219 291
1 154 15 294
2 23 44 255 237
1 293 42 367
1 203 225 333
2 157 269 289 280
2 213 116 221 145
1 280 223 335
2 261 106 264 291
2 152 139 210 290
2 2 222 153 277
2 209 105 241 157
1 91 30 343
2 28 5 208 113
2 295 277 295 280
2 121 93 127 126
2 23 240 133 267
2 168 151 234 199
1 71 32 173
2 167 69 272 283
2 112 182 137 229
2 68 106 213 258
1 134 292 335
1 256 210 317
1 235 264 322
2 129 133 258 277
2 123 218 163 274
2 117 68 265 170
2 125 215 187 219
2 130 242 268 252
2 14 225 236 273
1 292 97 414
2 288 242 295 282
2 47 29 165 165
2 285 172 291 242
1 219 280 3
2 39 244 100 270
1 257 262 35
1 62 69 114
2 124 165 280 233
2 85 240 220 288
2 275 0 282 288
2 133 204 273 252
2 215 288 286 291
2 82 25 223 92
1 86 35 270
2 158 286 190 288
1 177 74 384
2 168 248 188 253
2 215 15 232 149
2 43 174 198 276
2 70 40 235 208
2 94 70 292 207
2 235 31 267 208
2 164 90 165 251
2 127 81 169 119
2 246 224 264 287
2 29 195 218 285
2 280 15 290 281
2 200 110 223 148
2 24 158 199 165
2 46 79 295 252
2 121 123 258 270
2 213 28 280 116
2 10 30 193 202
2 149 65 187 279
2 253 129 260 229
2 15 87 92 147
2 68 200 229 200
2 244 14 272 62
2 52 151 185 213
2 260 139 295 243
2 269 215 281 221
2 168 89 230 198
2 140 202 262 241
2 28 290 149 291
2 24 112 151 183
2 74 256 218 263
2 154 25 233 116
2 101 47 149 271
2 219 137 237 160
2 62 268 193 289
2 8 160 211 282
2 132 101 189 177
2 255 293 289 295
2 204 207 244 258
1 283 201 268
2 74 15 265 37
2 34 194 175 288
2 63 286 207 292
2 56 232 224 235
2 49 207 113 285
2 291 26 291 221
2 269 60 273 64
2 206 129 262 181
2 111 20 113 91
2 285 50 285 133
2 28 199 54 250
2 219 73 283 215
2 230 35 231 35
2 194 189 244 288
2 35 278 56 281
2 177 64 254 104
2 214 249 226 278
1 62 111 282
2 18 16 180 79
2 261 39 288 185
1 157 235 177
1 25 234 228
2 59 121 232 294
2 32 150 257 202
2 129 266 263 285
2 34 264 115 265
2 293 236 293 276
2 211 137 257 237
2 218 84 293 246
2 58 244 76 260
2 87 164 140 268
2 201 35 249 282
2 155 62 267 252
2 189 253 244 258
2 58 102 71 251
2 245 153 257 235
2 28 255 267 288
2 154 53 163 153
2 249 143 287 219
2 61 200 164 250
2 37 62 133 141
2 103 132 191 184
2 238 75 241 133
2 249 221 286 235
2 15 21 89 57
2 167 259 188 292
2 213 159 252 229
2 58 87 246 215
2 99 295 285 295
2 87 15 189 98
2 222 187 270 198
2 19 95 60 149
2 45 21 247 218
2 119 82 234 291
2 69 72 137 250
2 27 48 135 220
2 237 258 279 260
2 111 24 265 88
2 92 159 229 283
2 31 157 117 208
2 78 196 184 281
2 111 110 248 195
2 8 164 178 247
2 204 213 240 256
1 103 92 51
2 5 125 19 208
2 48 194 92 234
2 128 200 270 218
2 44 278 232 282
2 58 199 149 288
2 16 1 269 186
2 253 239 275 293
2 57 96 188 137
1 243 52 286
2 12 136 256 242
2 154 268 215 282
2 227 243 244 244
2 73 228 87 255
2 206 128 247 188
2 222 62 241 199
2 135 98 154 273
2 41 29 128 74
2 165 26 270 149
2 254 0 288 87
1 145 162 325
2 83 126 250 254
2 36 207 206 294
2 244 90 244 161
2 131 287 249 295
2 49 198 288 215
2 262 14 289 61
2 197 272 284 290
2 247 232 283 272
2 291 203 293 209
2 113 252 159 254
2 218 27 248 226
2 172 283 239 284
2 84 291 152 293
2 72 44 105 148
2 205 10 205 186
1 164 235 66
1 151 187 338
2 236 215 253 246
2 135 90 274 193
2 30 65 150 294
2 229 24 295 289
1 38 266 327
2 25 234 127 288
2 55 58 134 92
2 75 32 289 171
2 97 39 132 50
2 257 52 272 117
2 10 265 178 295
2 294 179 294 240
2 214 285 221 294
2 172 278 208 283
2 2 133 199 236
1 201 247 329
2 108 110 124 163
2 252 92 255 195
2 272 198 290 259
1 103 86 27
1 4 214 450
2 12 265 98 268
2 215 272 260 288
2 253 93 286 178
2 133 239 267 286
2 259 117 267 264
2 284 252 288 255
1 64 256 85
2 203 181 208 200
2 228 164 235 292
2 95 280 147 290
1 288 178 487
2 49 132 273 166
2 160 261 277 277
1 107 28 384
2 115 34 269 50
2 285 168 288 267
2 268 274 290 279
2 155 224 170 243
2 72 102 141 277
2 40 24 94 78
2 276 238 277 245
2 38 198 244 248
2 170 206 262 210
2 72 89 284 214
2 148 173 178 273
2 150 86 199 198
2 239 18 261 200
2 105 108 227 109
2 151 189 283 202
1 177 7 103
2 115 192 198 210
2 278 280 288 286
2 281 243 289 277
2 74 221 123 267
2 116 276 192 278
2 79 295 115 295
2 59 196 62 232
2 198 130 236 163
2 82 117 147 256
2 169 105 210 250
2 5 139 27 162
2 116 34 140 129
2 194 90 278 168
2 111 93 163 282
2 294 13 294 217
1 181 111 310
2 58 230 108 258
2 159 248 224 279
1 6 105 56
2 246 269 287 288
1 257 9 33
2 210 13 238 116
2 113 13 188 100
2 214 48 230 185
2 166 175 288 218
2 32 289 204 294
2 290 66 291 235
2 210 217 215 282
2 136 194 143 284
2 120 51 205 91
1 43 283 274
2 206 202 219 230
1 37 153 494
1 168 48 305
2 225 101 261 215
2 197 33 223 125
2 35 95 38 196
1 79 195 67
2 247 76 286 270
2 292 208 292 291
2 136 124 189 237
2 294 170 295 272
2 178 125 192 148
1 63 135 14
1 240 36 153
2 182 106 196 241
2 193 7 233 68
2 233 183 274 195
2 215 57 218 179
2 70 164 119 164
2 238 13 255 285
2 218 181 249 186
2 255 249 255 267
1 225 264 348
2 89 125 216 275
2 243 244 248 272
1 152 110 333
2 144 175 254 178
2 101 126 272 170
2 17 43 32 123
2 236 178 255 185
2 67 7 196 125
2 36 31 156 123
2 60 57 181 261
2 97 166 191 242
2 294 230 294 289
2 8 291 60 292
2 41 47 69 105
2 9 98 201 109
1 125 141 408
2 261 103 288 161
1 126 47 378
1 168 204 138
2 199 82 210 268
2 231 193 246 266
1 262 260 488
2 268 218 278 255
2 231 27 283 52
2 240 16 267 290
2 30 228 205 295
2 261 188 280 245
2 64 30 180 147
2 205 242 227 279
2 8 292 39 295
2 81 51 236 153
1 24 154 221
2 237 195 293 238
2 39 46 145 248
2 155 12 196 173
2 275 100 293 104
2 120 214 292 272
2 208 52 239 239
2 285 106 295 224
2 209 103 226 199
2 294 157 294 172
1 243 63 15
2 226 186 269 192
2 105 53 196 234
2 264 194 265 255
2 24 92 220 202
2 209 286 235 289
2 286 12 294 85
1 190 261 441
2 231 42 235 214
2 94 147 253 225
2 139 93 172 190
2 264 285 293 287
2 92 55 202 180
2 132 168 273 277
2 103 4 144 147
2 7 173 209 204
2 179 114 275 136
2 177 213 273 216
2 121 187 142 188
1 166 4 457
2 14 108 249 235
2 206 71 249 113
2 243 42 255 163
2 50 194 277 210
1 6 260 402
2 111 2 286 43
2 211 99 238 212
2 92 201 282 261
2 186 38 192 222
2 271 220 290 244
2 40 58 104 257
1 240 72 363
2 172 126 221 264
2 154 57 232 116
2 160 7 285 294
2 258 22 293 190
2 177 94 196 200
2 84 138 246 220
2 204 126 292 173
2 130 70 178 141
1 138 0 455
2 192 119 220 151
2 169 48 186 198
2 114 41 262 255
2 111 285 193 287
2 108 166 129 190
2 44 287 193 287
1 290 105 18
2 151 51 266 61
2 229 56 280 126
2 26 212 223 273
2 238 31 238 68
1 123 194 288
2 86 167 135 239
1 238 244 419
2 235 35 289 281
2 215 257 272 271
2 57 234 107 251
