85 170
21 38 247
8 9 88
2 64 13
23 44 260
23 35 409
25 80 932
32 66 771
6 14 61
2 45 530
16 47 186
20 53 582
43 50 582
20 69 230
28 52 609
56 73 659
28 68 799
24 34 275
12 19 219
14 79 162
41 53 617
14 85 999
14 32 155
32 60 698
6 82 964
4 77 44
7 60 701
20 42 483
31 56 358
27 55 638
37 77 429
25 69 287
39 70 814
5 45 518
53 84 980
38 51 593
29 34 333
43 64 500
12 21 237
38 47 548
40 42 490
8 37 85
63 70 816
4 75 878
16 31 359
8 66 88
15 26 299
10 41 115
62 68 800
6 41 64
24 63 741
9 63 739
71 81 949
61 70 715
19 60 700
43 48 560
57 75 663
34 68 400
27 56 313
14 82 164
53 75 879
13 40 470
23 66 263
66 83 967
36 74 871
22 26 298
40 73 855
10 45 118
16 71 183
4 38 438
38 50 588
20 39 230
6 72 65
8 63 85
32 77 366
2 53 22
6 68 793
26 48 295
6 57 59
49 65 572
43 56 659
60 71 695
2 56 654
15 19 175
4 54 625
19 80 936
53 76 624
17 73 200
70 79 925
9 42 99
18 20 233
14 28 329
12 13 135
69 82 963
27 44 313
7 44 514
27 66 769
3 49 26
46 66 770
33 57 670
54 82 625
3 73 30
3 26 298
15 67 787
4 30 38
4 6 66
45 80 940
53 78 907
43 82 497
41 66 769
24 69 801
4 19 215
57 77 898
42 51 490
7 26 303
29 38 444
52 58 604
46 75 873
22 47 256
13 49 565
10 61 112
57 71 824
5 67 781
8 10 91
45 64 525
10 27 107
28 44 512
11 23 260
19 62 727
47 71 825
41 63 733
1 76 6
26 77 901
71 77 825
22 45 251
40 85 462
7 77 898
71 78 826
27 54 633
43 80 939
30 61 348
9 56 103
30 48 561
41 47 552
28 72 318
47 48 555
18 63 203
74 77 864
26 59 303
29 66 335
27 48 311
7 12 76
64 83 966
81 84 984
40 61 461
4 63 37
50 75 883
29 72 844
2 52 17
28 58 682
43 71 497
14 40 155
18 34 210
32 35 366
4 9 37
65 72 757
39 73 452
33 47 546
48 80 933
23 77 898
6 75 875
50
5 6 7 8 9 11 13 15 16 17 19 20 22 23 26 27 28 29 31 33 34 35 36 38 39 43 45 46 50 51 52 53 54 57 58 60 64 67 68 69 70 71 75 76 78 79 80 83 84 85
